S.no.,University Name,Type,Location,Programs Offered,Duration,Fees (INR),Eligibility,Website,Special Features,Accreditation
1,IGNOU,Government,New Delhi,"MBA, BCA, BBA, MCA, MA, BA, BSc, MSc",2-3 years,31000-50000,Graduate with 50%,https://www.ignou.ac.in,"Distance Learning, Flexible Schedule, Study Centers Nationwide","UGC, DEB"
2,NMIMS,Private,Mumbai,"MBA, BBA, BCA, MCA, MA, BA",2-3 years,150000-300000,Graduate with 50%,https://www.nmims.edu,"Industry-Relevant Curriculum, Placement Support, Online Exams","UGC, AICTE"
3,Symbiosis Centre for Distance Learning,Private,Pune,"MBA, BBA, BCA, MCA, MA, BA, BSc",2-3 years,80000-200000,Graduate with 50%,https://www.scdl.net,"Flexible Learning, Industry Partnerships, Career Guidance","UGC, AICTE"
4,Annamalai University,Government,Tamil Nadu,"MBA, BBA, BCA, MCA, MA, BA, BSc, MSc, B.Tech",2-4 years,25000-60000,Graduate with 50%,https://www.annamalaiuniversity.ac.in,"Traditional University, Comprehensive Programs, Affordable Fees","UGC, AICTE"
5,Madras University,Government,Chennai,"MBA, BBA, BCA, MCA, MA, BA, BSc, MSc",2-3 years,20000-40000,Graduate with 50%,https://www.unom.ac.in,"Established University, Quality Education, Low Fees",UGC
6,Delhi University,Government,New Delhi,"MBA, BBA, BCA, MCA, MA, BA, BSc, MSc",2-3 years,30000-60000,Graduate with 50%,https://www.du.ac.in,"Prestigious University, Excellent Faculty, Research Opportunities",UGC
7,Calicut University,Government,Kerala,"MBA, BBA, BCA, MCA, MA, BA, BSc, MSc",2-3 years,15000-35000,Graduate with 50%,https://www.uoc.ac.in,"Affordable Education, Regional Focus, Flexible Learning",UGC
8,Karnataka State Open University,Government,Mysore,"MBA, BBA, BCA, MCA, MA, BA, BSc, MSc",2-3 years,20000-45000,Graduate with 50%,https://www.ksoumysore.org,"State University, Local Language Support, Affordable",UGC
9,Dr. B.R. Ambedkar Open University,Government,Hyderabad,"MBA, BBA, BCA, MCA, MA, BA, BSc, MSc",2-3 years,18000-40000,Graduate with 50%,https://www.braou.ac.in,"Social Justice Focus, Affordable Education, Regional Programs",UGC
10,Netaji Subhas Open University,Government,Kolkata,"MBA, BBA, BCA, MCA, MA, BA, BSc, MSc",2-3 years,20000-45000,Graduate with 50%,https://www.wbnsou.ac.in,"Bengali Language Support, Regional Focus, Low Fees",UGC
